Joke;Answer
Qu'est ce qui permet d'enlever le chewing gum des ses cheveux ?;Le cancer
Quel est le point commun entre une Ferrari et une enfant de 5 ans ?;Quand tu rentres dedans, tu déchires tout
Que dit une blonde quand elle voit une peau de banane sur le trottoir?;Oh mince! je vais encore tomber !
Pourquoi les blondes passent-elles à la caisse avec un seau d’eau ?;Pour payer en liquide.
Pourquoi les blondes ne mangent-elles pas de bananes?;Parce qu’elles ne trouvent pas la fermeture éclair !
Est ce que si on trempe un Mac dans l'eau ça fera;Un McDo ?
Comment fait-on pour allumer un barbecue breton ?;On utilise des breizh.
Quels desserts portent des sous-vêtements ?;Les bananes à slips.
Qu'est-ce qui est bleu blancs et rouge ?;Un schtroumf à qui on a couper la tête
Qu'est-ce qui est bleu blancs et rouge ?;Un schtroumf qui saigne du nez
Comment la chouette sais que son mari fait la gueule ?;Parce qu'Hiboude.
Robinson Crusoé habitait t'il une île déserte ?;Non puisqu'il y habitait.
Qui est le plus menteur entre un boucher et un jardinier ?;C'est le jardinier car il raconte que des salades !
Pourquoi aucun éléphant n'est informaticien ?;Parce qu'ils ont peur de la souris.
Pourquoi les moutons aiment le chewing-gum ?;Car c'est bon pour la laine (l'haleine).
Pourquoi les petits poissons ne vont pas à l'école ?;Parce qu'ils s'en fish !
Que fait une lampe qui se fait agresser ?;Elle crie à LED.
Pourquoi quand on vise on ferme un œil ?;Car si on fermait les deux on verrait plus rien.
Quel est la différence entre une blonde et une patate ?;La patate est cultivée.
Pourquoi les sorcières utilisent des balais pour voler ?;Car un aspirateur c'est trop lourd !
Qu'est ce qu'une diarrhée mentale ?;C'est quand à chaque fois que t'as une idée, c'est de la merde !
quel est la différence entre une femme et une voiture de sport ?;Aucune ! Les deux font du bruit quand ont accélère.
Pourquoi les blondes portent-elles des ceintures D&G ?;Pour reconnaître leur droite et leur gauche
Connaissez vous la blague sur les magasins?;En tout cas, elle a supermarché !
Qu'est-ce qu'il faut dire au noir pour qu'il parte dormir ?;DARK VADOR
Que dit-on a quelqu'un de triste qui joue aux jeux vidéos ?;On dit qu'il se console !
Pourquoi les développeurs vont en boîte de nuit;Pour faire la java
Que dit un informaticien quand il s'ennuie?;Je me fichier
Qu'est-ce qu'un cadeau qui s'en va ?;Une surprise party
Quel est le pays le plus cool au monde ?;Le Yééémen
Pourquoi Winnie l'ourson veut absolument se marier ?;Pour partir en lune de miel.
Que dit un italien pour dire au revoir ?;Pasta la vista baby.
Je peux tourner sans bouger. Qui suis-je ?;Le Lait.
Que boit un vampire en soirée ?;Du sangpagne. Sang-té !
Pourquoi est-ce difficile de conduire dans le Nord ?;Parce que les voitures n'arrêtent pas de caler.
Quel est le meilleur magazine pour développeurs ?;Pomme d'api
Pourquoi les développeurs ne portent ils pas de chaussures à lacets ?;Car ils préfèrent les scratch.
Qu'est-ce qu'un comptable ?;C'est un con derrière une table.
C’est un bœuf, qui court…;Puis qui se viande.
Pourquoi le patinage artistique est pénible ?;Car le patin agace
Que faire pour sauver la vie d’une mouche qui se noie ?;Du mouche à mouche
Les enfants c’est comme les pets;On ne supporte que les siens
Comment se nomme la Barbie la plus poilue ?;La Barbie chette !
"En cours de sport le prof il cris ""Faites 10 pompes !""";"Le chinois se retourne brusquement et demande ""Nike ou Adidas ?"""
T’es tombé ?;Non je fais un câlin au plancher il avait l’air triste.
Pourquoi les policiers n’ont pas d’acné ?;Car ils ont la peau lisse !
Quel est le gateau préféré des nuages ?;L’éclair !
Que fait un développeur avant d'aller faire les courses ?;Il fait sa lisp
Que prend un développeur avant d'écrire ?;Il prends de la MD
Quelle est la maladie la plus répandue chez les développeurs Rust ?;Le tétanos
Que dit une antenne TV à un paratonnerre?;Tu y crois toi au coup de foudre?
Pourquoi une feuille se noie quand on la met dans l'eau?;Parce-qu'elle n'a pas pieds.(papiers)
Qu'est-ce qu'un dromaludaire?;Un Chalumeau a 2 bosses.
Qu'est-ce qu'un Canif;C'est un p'tit fien
Quelle est la chanteuse préférée des serruriers ?;Alicia Keys.
Combien de fils a la mère de Justin ?;Juste un.
Qu’est ce qu’une baguette avec une boussole ?;Du pain perdu
Le prof dit à son élève : Ton devoir était mauvais.;QUOI ! Vous l'avez mangé ?
À quoi servent les archipels ?;À faire des archi-trous !
Pourquoi il n'y a plus de Mammouth ?;Parce qu'il n'y a plus de Papouth.
Entre un aviateur et un marin, lequel écrit le moins ?;Le marin, parce qu'il a jeté l'encre.
Quel est le comble pour un électricien ?;D'avoir des ampoules aux pieds.
Qu'est-ce qu'une manifestation d'aveugles ?;Le festival de Cannes
Comment appelle-t-on un développeur pédophile  ?;Un pédofile
Comment appelle-t-on un ascenseur en Amérique ?;En appuyant sur le bouton…
C’est l’histoire d’une fleur qui court, qui court..;Et qui se plante
Comment appelle-t-on une fracture du crâne ?;Un dégât des os
Qu’est-ce qui est transparent et qui sent la carotte ?;Un pet de lapin
Qu’est-ce qu’un cochon qui rit ?;Un porc tout gai.
Quel est l’ami du feu ?;Le pot-au-feu
Quelles sont vos matières préférées ?;Maths et Dessin !
Comment appelle-t-on un covoiturage au Sénégal ?;Un Babacar
Que fait-on aux voleurs de salades ?;On les tue…
Qu’est-ce que fait un pou dans une cloche ?;Pou Ding
Quel est le légume le plus courageux ?;Le pois-chiche
Un jour, Dieu demanda au coca de coller…;et le Coca Cola…
Comment fait-on pour occuper une blonde ?;On la met dans une pièce ronde en lui disant de chercher les coins.
Quel est le seul animal qui nourrit lui-même sa voiture ?;La chèvre car elle nourrit son cabri au lait !
Dans quel pays ne bronze-t-on pas du nez ?;Au Népal
Pourquoi est-ce que les anges sont sourds ?;Parce que Jésus-Christ
Qu’est-ce qui fait nioc-nioc ?;Un canard qui essaye de parler le verlan
Quels sont les fruits que nous trouvons dans toutes les maisons ?;Les coins et les mûres.
Comment appelle-t-on la mère du phoque ?;Mother phoquer
Quelle est la devise des chats diaboliques ?;Satan est par minou
Quels sont les deux animaux les plus intelligents ?;Le Cerf et le Veau
Pourquoi on met une selle sur un cheval ?;Parce qu’en dessous elle tomberait.
De quel pays viennent les cochons ?;Des quatre groins du monde
Quel est le comble pour une taupe ?;D’amuser la galerie !
Que prend un éléphant quand il va au restaurant ?;Il prend de la place !
Qu’est ce qui a 3 bosses?;Un chameau qui s’est cogné.
Quel est le comble pour un cycliste ?;De faire un régime sans sel.
Quelle est la ville la plus rapide de Suisse ?;Nyon
Tu connais la blague du papier?;Elle déchire.
Pourquoi une brioche ne va jamais aux sports d’hiver ?;Parce qu'elle sait Pasquier
Pourquoi les mamies sont-elles très efficaces pour faire le ménage ?;Parce qu'elles ont 80 balais.
Tu connais la blague de la gomme ?;Elle dégomme.
Quelle est la différence entre une machine et du ketchup ?;Aucune, ils sont tous les deux au-tomate
Que se passe-t-il quand on secoue une clef USB ?;Les fichiers se mélangent.
Oh, Léon ! Ton prénom à l'envers donne Noël !;Et oui, tout le monde n'a pas cette chance mon cher Luc...
On m'a dit que pour faire ses courses pendant le confinement il suffisait de porter un masque et des gants...;C'était un mensonge, tous les autres étaient habillés !
Chérie, pendant que tu dormais tu m'as traité de connard;Je ne dormais pas...
Ce matin en voulant m'habiller, le bouton de ma chemise m'est resté dans les mains. En voulant mettre mes chaussures, mon lacet m'est resté dans les mains.;"Je me suis dit ""Vaut mieux pas que j'aille pisser"""
On ne dit pas « l’électronique » mais...;L’électricien fait l’amour.
Qui se débrouille le mieux au karaté ?;L’électricité, car elle connaît beaucoup de prises.
La vitamine C…;Mais ne dira rien.
Que dit un pistolet à une mitraillette ?;Ça fait longtemps que tu bégayes ?
Un clown arrive chez le docteur;Docteur, vite, je me sens tout drôle...
Qu’est-ce qui est rouge et qui attend ?;Mon compte en banque.
Il y a quoi au milieu de l’océan ?;Un é
Comment appelle-t-on une personne agréable à Paris ?;Un touriste.
Quel est l’ami du feu ?;Le pot-au-feu
Pour ne plus puer de la gueule…;Faut-il arrêter de dire de la merde ?
Qu’est-ce qui est noir et blanc et qui rebondit ?;Un pingouin sur un trampoline.
Comment reconnaître un ministre qui ment ?;Ses lèvres bougent
Comment appelle-t-on une fleur très occupée ?;Une fleur over-bookée
Soupçonné de vol dans une boulangerie;Florent Pagny nie.
Quel est le contraire d’un chat ?;Un pacha.
Pourquoi une blonde a-t-elle les cheveux mouillés quand elle va se coucher ?;Parce qu’elle a dit bonne nuit à son poisson rouge.
Si un noir veut me prendre par les sentiments.;Je peux dire qu'il mamadou ?
Qu’est-ce qu’une brune entre 2 blondes ?;Une interprète.
Comment occuper une blonde toute la journée ?;Lui donner un papier où l’on écrit « voir au verso » de chaque côté.
Pourquoi les poules n’ont-elles pas de seins ?;Parce que les coqs n’ont pas de mains !
Pendant l’acte, ma femme me dit : Dis-moi des choses sales !;La cuisine, la salle de bain...
Pourquoi Jésus ne mange jamais de cacahuètes ?;Parce qu’il a des trous dans les mains.
Chéri, je me sens grosse et laide… S’il te plait, fais-moi un compliment…;Tu as une bonne vue !
Thomas, penses-tu que je suis une mauvaise mère?;Mon nom est Paul…
Qu’est-ce qu’un lépreux dans un bain ?;Un Efferalgan
Comment appelle-t-on une femme qui a perdu son intelligence ?;Une veuve.
Quelle est la différence entre la sodomie et les choux-fleurs ?;Même avec du beurre, les enfants n’aiment pas.
Quel est le shell préféré des adolescents ?;Le WESH
Je suis bipolaire et je vous aime tous.;Bande d’enculés.
Quel est le point commun entre des chaussures et des juifs ?;Il y en a plus en 39 qu’en 45
Comment appelle-t-on deux noirs dans un sac de couchage ?;Un Twix
Quel est le plus gros dilemme pour un juif ?;Du jambon gratuit
Qu’est-ce qu’un juif en forêt ?;Rabbin des bois
Comment appelle-t-on une lesbienne qui n’a pas de sein ?;Une omoplate
Pourquoi tu vends ton perroquet ?;Parce qu’hier, ce bâtard a essayé de me vendre !
Un jour, Dieu demanda à David de guetter;Et David guetta.
Que font 2 brosses à dents le 14 Juillet ?;Un feu dentifrice !
Qu'est-ce qui est plus fort qu’un lion ?;Deux lions.
Qu’est-ce qu’un petit cheval dans une piscine ?;Un poney de bain.
Pourquoi le ciel est si haut ?;Pour que les oiseaux ne se cognent pas la tête.
Qui s’occupe de la décoration à l’Elysée ?;Le ministère de l’intérieur
Pourquoi les indiens mettent-ils leur argent en bourse ?;Car ça rapporte des sioux.
Quel est le comble pour un dentiste ?;C’est d’habiter dans un palais.
Qu’est-ce qu’un euro dans un avion qui décolle ?;Une pièce montée...
Quel est le comble de Buzz ?;D'aller plus vite que l'éclair. 
Que fait un gros poussin ?;PIOU-PIOU
Pourquoi les bots ne parlent pas avec les humains ?;Pour ne pas leur ressembler.
Pourquoi les coquilles ne font pas de régime ?;Parce qu'elles sont palourdes !
Qu'est-ce qu'un pruneau ?;Un synonyme de personne âgée : qui est ridée et qui fait chier
Qu'est ce qu'oune péniche ?;C'est oune zizi portouguaiche
Les parents sont deux êtres qui t'apprennent à marcher et à parler;Pour ensuite te dire de t'asseoir et de fermer ta gueule 
L'autobus est une invention géniale !;Il roule deux fois plus vite quand tu cours après que quand t'es assis dedans
Les ciseaux à bois...;Les chiens aussi
Qu'est-ce que le Gospel ?;C'est quand ton gamin a pris un coup de soleil
Qu'est-ce que la beauté intérieure ?;Un concept inventé par les moches pour pouvoir se reproduire
Que fait un hibou dans une bibliotheque ?;Hibouqine !
Avez-vous déjà eu des sentiments partagés ? ;Genre quand ta belle mère recule vers le ravin avec ta voiture toute neuve
Une définition simple de l'amour :;C'est comme un jeu de cartes, si t'as pas de partenaire(s) il vaut mieux avoir une bonne main 
Maman, où est mon perroquet?;Au quai.
Pourquoi mon ordinateur ne marche plus? Qu'as-tu fais?;Vu qu'il était sale je l'ai nettoyé avec de l'eau. 
Quand est-ce que les chiens aboient ?;Lorsqu’ils ont un chat dans la gorge.
Comment un développeur tente-t-il de réparer sa voiture lorsqu'elle a un problème ?;Il sort de la voiture, ferme toutes les fenêtres, retourne dans la voiture, et essaie de redémarrer.
Que dit un égoïste qui veut partager?;On fait moi-moi.
Qu'est-ce que deux fous avec des mitraillettes ?;Une fousillade.
Que dit le juge au manchot ?;Allez allez, témoignons !
Tu connais la blague du con qui dit non ?;Non…
Quel est le comble pour un plombier ?;Que ses clients prennent la fuite !
2 fesses se croisent;Alors, ça gaze ?
Où est fabriqué le viagra ?;Au Boukistan
Qu’est-ce qu’une gifle ?;C’est comme une bifle, mais avec la main !
Pourquoi j’ai appelé mon pénis Bidou ?;Parce que quand je vais pisser, je s’coue Bidou.
Quel est le seul instrument à vent avec une corde ?;Le string
Quand 2 poissons s’énervent..;Est-ce qu’on peut dire que le thon monte ?
Pourquoi les hommes amènent-ils leur femme en vacances ?;Pour que les vacances paraissent plus longues...
Que fait Jean quand il voit une femme crocodile ?;Il lacoste !
Qu'est-ce qui commence par un E, finit par un E et qui ne contient qu'une lettre ?;Une enveloppe !
Qu’est-ce qui se lève quand tu t’en sers, qui s’abaisse quand tu as fini de t’en servir et qui goutte après usage ?;Un parapluie
Babi et Baba sont sur un bateau Baba tombe à l’eau. Que se passe-t-il ?;Babi bêle et Baba coule
Que s'est il passé en 1769 ? Napoléon est né ! Et que s'est il passé en 1789 ?;Il a eu 20 ans !
Rien ne sert de courir...;... Je suis déjà en retard
Quand mon verre est plein, je le vide;Quand mon verre est vide, je me plains !
Attention au chien ! ;Il est si petit que vous pourriez marcher dessus 
Ne pas déranger svp ;Je n'ai pas rangé pour rien... 
Merci de ne pas frapper;Et soyez gentil, de ne pas sonner non plus
N'hésitez pas à demander si la maison fait crédit;Nous avons une façon absolument délicieuse de refuser 
Sur ce serveur le 12 mai 2020;Il ne se passa strictement rien 
Pourquoi la girafe se fait arrêter par la police ? ;Parce que c’est un cou-monté !
Pourquoi les coccinelles n’aiment-elles pas courir ?;Parce qu’elles ont toujours des points de cotés !
On ne dit pas démanger;On dit vomir
Que disait Eve pour faire avancer le bâteau;Ramadan
Que signifie expatriées ?;Anciennes petites amies non rangées
Qui est l'idiot qui a créé la cédille ?;Monsieur Duçon
Que signifie Mercato ?;C'est une maman pratiquante
Tu sais ce que c'est un suppositoire ?;C'est une invention qui restera dans les annales
Les pharmacies...;... c'est les confiseries des vieux
Une jardinerie est un endroit merveilleux;Si tu te prends trois râteaux on t'offre une pelle
Pourquoi Toto veut se marier avec la mère de son père ?;Ben son père s'est bien marié avec la sienne...
Que demande un chat dans une pharmacie ?;Avez-vous du sirop pour ma toux ?
Que faisaient les dinosaures quand ils n'arrivaient pas à se décider ?;Des tirageosaures
Que fait un hibou dans une bibliotheque ?;Hibouqine !
Pourquoi est-ce qu'on met tous les crocos en prison ?;Parce que les crocos dealent.
Quel est le jambon que tout le monde déteste ?;Le sale ami.
Que dit un éléphant sans corne ?;Je suis sans défense.
Quelle est la différence entre toi et un sapin ?;Un sapin c'est un conifère et toi t'es con et on peut rien y faire
Ta mère est tellement grosse;Que quand elle sort y a une éclipse
Tout est bon dans le cochon;Je ne mangerai pas ta mère pour autant
Vous saviez que la famille Le Pen a du sang arabe ?;Sur le capot de leur voiture...
Quelle est l'émission TV préférée des jardiniers constipés ?;Silence ça pousse
Qu'est ce qu'une frite enceinte ?;Une patate sautée
Que dit un coronavirus quand il braque une banque ?;Donner moi l'argent, sinon je fais toussoter !
Qu’est-ce qu’un homme avec une mitraillette dans un champ de blé ?;Un céréales killer.
Peux-tu me dire si le clignotant fonctionne ?;Oui, non, oui, non, oui, non.
Quel est le meilleur site pour un homme qui cherche un lave-vaisselle ?;Un site de rencontres.
Quel est le point commun entre la poitrine d'une femme et un train électrique ?;C’est fait pour les enfants mais c’est papa qui joue avec.
Que dit une bière quand elle tombe dans l'eau ?;Je sais panaché
Deux pommes de terre traversent la route, l'une d'elles se fait écraser;Oh purée !
C’est en forgeant qu’on devient forgeron.;Et c’est en sciant que Léonard devint scie !
Jésus a marché sur l'eau. Une courgette est composé a 98% d'eau. J'ai marché sur une courgette.;je suis à 98% Jésus
Quelle est la différence entre Jésus et un tableau de Picasso ?;Le tableau s'accroche avec un seul clou
Quel oiseau est attiré par le miel ?;L'autruche car à coter il y a une aut'ruche.
Qu'est-ce qu'un tennisman adore faire ?;Rendre des services !
Comment appelle-t-on six prostituées Allemandes ?;Une scie sauteuse Bosch
Quel est le point commun entre un camp de concentration et une maison de retraite ?;Dans les deux cas, les pensionnaires n'en ressortent pas vivants.
Pourquoi quand on vise on ferme un œil ?;Car si on fermait les deux on verrait plus rien.
Qu'est ce qu'un pruneau ?;Un synonyme de personne âgée : qui est ridée et qui fait chier
Quel est la différence entre un marin et un boucher?;Le boucher voit le porc avant les côtes 
"Une jeune soupçonnée de sorcellerie demande à sa mère : ""Pourquoi est-ce qu'on flotte?""";"""Pour la même raison qu'on brûle."""
Comment appelle t-on un chat dans l'espace ?;Un chatellite 
Qu’est-ce qu’un cochon volant ?;Un aéroport.
Quel est le comble pour un porte-charge?;C'est de mal se porter.
Pourquoi méprise-tu les canard ?;Parce qu'à chaque fois que je vais au coin il se moque de moi.
Quel est le point commun entre un mauvais musicien et un cancre? ;Les deux ont de mauvaises notes.
Les peintres utilisent, de l'imagination, de la créativité et...;De la peinture.
Une mère demande à son fils : quel est ton animal préféré?;Le zébu parce qu'on a un point commun.
Que fait un oiseau au dessus d’un camp de concentration ?;cuit cuit !
Mr et madame Sop ont un fils comment s'appelle-t-il ?;Alain
Deux belges se déplacent dans le désert en tenant une portière;J'ai trop chaud ouvre la fenêtre s'il te plaît
Dieu créa la France, un trop beau pays, de belles formes, la mer, l'océan, les montagnes...;Alors pour compenser il a créé le français
Ma b*te, je l’ai appelée la vie.;Parce que la vie est dure...
Qu'est-ce qui est pire qu'un meurtrier ?;Un policier fanatique.
Je suis Tintin, mais je ne suis pas Tintin. Qui suis-je ?;Milou
Qu'est-ce qu'un squelette dans une armoire.;Quelqu'un qui a gagné un cache-cache.
Que disent deux mouettes lorsqu’elles veulent partager quelque chose ?;« On fait mouette-mouette ? »
Que font 1+2-1x2?;Le nombre de jambe d'un manchot.
Quel est la différence entre des pizzas et des juifs ?;Le temps de cuisson.
Quelle est la pire musique pour les juifs ?;En feu, Soprano
Quelle est la vitesse maximale autorisée lors d'un rapport ?;68km/h car à 69..... Ça fait une tête à queue.
"Prof des biologie : ""Que trouve-t-on dans une cellule ?""";Des arabes et des noirs !
Quel est le meilleur ami d'un grand-père ?;Le potager
Que dit-on en Afrique quand un lieu est bondé ?;Il est noir de monde...
Qu'elle est l'insulte la plus utilisée en 1940 après le traité de Vichy ?;Pétain
Tu as aucune référence....;Peut-être car je suis pas à vendre !
Quelle est la tarte préférée des putes ?;La tarte catin
