Type;Question;Answer
drug;how to administer denosumab;"Denosumab injection comes as a solution (liquid) to be injected subcutaneously (under the skin) in your upper arm, upper thigh, or stomach area. It is usually injected by a doctor or nurse in a medical office or clinic. Denosumab injection (Prolia) is usually given once every 6 months. When denosumab injection (Xgeva) is used to reduce the risk of fractures from multiple myeloma, or cancer that has spread to the bones, it is usually given once every 4 weeks. When denosumab injection (Xgeva) is used to treat giant cell tumor of bone, or high calcium levels caused by cancer, it is usually given every 7 days for the first three doses (on day 1, day 8, and day 15) and then once every 4 weeks starting 2 weeks after the first three doses.

Your doctor will tell you to take supplements of calcium and vitamin D while you are being treated with denosumab injection. Take these supplements exactly as directed.

When denosumab injection (Prolia) is used to treat osteoporosis or bone loss, your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with denosumab injection and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (http://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide."
drug;what is barbiturates;"Barbiturates are sedative-hypnotic drugs that were once commonly used as sedatives or antianxiety medications. A physician must prescribe barbiturates; otherwise, their use is considered illicit. Among their limited uses, barbiturates are used to manage some seizure disorders as well as for pre-procedural sedation. In rarer instances, they are prescribed for the treatment of headache, anxiety and insomnia. However, their use in most areas of medicine has largely been supplanted by other safer medications. Barbiturates are controlled substances due to the potential they pose for abuse, physical dependence, and addiction. Some of the more common barbiturates include     Luminal (phenobarbital).     Brevital (methohexital).     Seconal (secobarbital).     Butisol (butabarbital).     Fiorinal (butalbital)."
drug;what are the inactive ingredients to the pneumonia vaccine;Inactive Ingredients POLYSORBATE 80 … ALUMINUM PHOSPHATE
drug;how to prep and administer insulin;Humulin R U-100 may be administered by subcutaneous injection in the abdominal wall, the thigh, the gluteal region or in the upper arm. Subcutaneous injection into the abdominal wall ensures a faster absorption than from other injection sites. Injection into a lifted skin fold minimizes the risk of intramuscular injection. Injection sites should be rotated within the same region. As with all insulin, the duration of action will vary according to the dose, injection site, blood flow, temperature, and level of physical activity. Intravenous administration of Humulin R U-100 is possible under medical supervision with close monitoring of blood glucose and potassium levels to avoid hypoglycemia and hypokalemia. For intravenous use, Humulin R U-100 should be used at concentrations from 0.1 unit/mL to 1 unit/mL in infusion systems with the infusion fluids 0.9% sodium chloride using polyvinyl chloride infusion bags.
drug;what is medical marijuana;"Some states have approved ""medical marijuana"" to ease symptoms of various health problems. The U.S. Food and Drug Administration (FDA) has not approved the marijuana plant as a medicine. However, there have been scientific studies of cannabinoids, the chemicals in marijuana. This has led to two FDA-approved medicines. They contain THC, the active ingredient in marijuana. They treat nausea caused by chemotherapy and increase appetite in patients who have severe weight loss from HIV/AIDS. Scientists are doing more research with marijuana and its ingredients to treat many diseases and conditions."
drug;"clonazepam "".25mg"" lowest dosage?";Klonopin Wafers (clonazepam orally disintegrating tablets) are white, round and debossed with the tablet strength … 0.125 mg  debossed 1/8 …
drug;levaquin treat uti?;... Complicated Urinary Tract Infections: ... Acute Pyelonephritis: ... Uncomplicated Urinary Tract Infections
drug;vitamin d 25, totalhow much to takea day;Currently, there’s scientific debate about how much vitamin D people need each day. The Institute of Medicine, in a long-awaited report released on November 30, 2010 recommends tripling the daily vitamin D intake for children and adults in the U.S. and Canada, to 600 IU per day. (7) The report also recognized the safety of vitamin D by increasing the upper limit from 2,000 to 4,000 IU per day, and acknowledged that even at 4,000 IU per day, there was no good evidence of harm. The new guidelines, however, are overly conservative about the recommended intake, and they do not give enough weight to some of the latest science on vitamin D and health. For bone health and chronic disease prevention, many people are likely to need more vitamin D than even these new government guidelines recommend.
drug;sickness in humans caused formaldehyde on toys from china?;The Uphill Battle to Better Regulate Formaldehyde ... Safety advocates say that tighter restrictions ... are necessary, particularly for products coming from China, where items as varied as toys and Christmas lights have been found to violate American safety standards.
drug;is cyclobenzaprine a benzodiazepine?;"Cyclobenzaprine is in a class of medications called skeletal muscle relaxants. It works by acting in the brain and nervous system to allow the muscles to relax. …............ Benzodiazepines (sometimes called ""benzos"") work to calm or sedate a person, by raising the level of the inhibitory neurotransmitter GABA in the brain. Common benzodiazepines include diazepam (Valium), alprazolam (Xanax), and clonazepam (Klonopin), among others."
drug;what does vitamin d3 do;Vitamin D helps your body absorb calcium. Calcium is one of the main building blocks of bone. A lack of vitamin D can lead to bone diseases such as osteoporosis or rickets. Vitamin D also has a role in your nerve, muscle, and immune systems.
drug;what drugs contain in estrone injection;"Estrone, sold under the brand names Estragyn, Kestrin, and Theelin among many others, is an estrogen medication and naturally occurring steroid hormone which has been used in menopausal hormone therapy and for other indications.[5][8][9][10][1][2] It has been available as an aqueous suspension or oil solution that is given by injection into muscle and as a vaginal cream that is applied inside of the vagina.[1][2][3][4] It can also be taken by mouth in the form of estrone sulfate, as in estropipate (piperazine estrone sulfate; Ogen) and conjugated estrogens (Premarin).[11][2][5]"
drug;can i eat after taking rapaflo?;The recommended dose is 8 mg orally once daily with a meal.
drug;how much levothyroxine is needed to treat hashimotos;If  Hashimoto's disease causes thyroid hormone deficiency, you may need replacement therapy with thyroid hormone. This usually involves daily use of the synthetic thyroid hormone levothyroxine (Levoxyl, Synthroid, others). ... Treatment with levothyroxine is usually lifelong, but because the dosage you need may change, your doctor is likely to check your TSH level about every 12 months.
drug;can i take tea with azithromycin?;"tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); dihydroergotamine (D.H.E. 45, Migranal); ergotamine (Ergomar); medications for irregular heartbeat such as amiodarone (Cordarone, Pacerone), dofetilide (Tikosyn), procainamide (Procanbid), quinidine, and sotalol (Betapace, Sorine); nelfinavir (Viracept); phenytoin (Dilantin); and terfenadine (not available in the U.S.). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.
if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids."
drug;vyvanse 10 what is all in this pill is it safe;Active Ingredient/Active Moiety LISDEXAMFETAMINE DIMESYLATE (UNII: SJT761GEGS) (LISDEXAMFETAMINE - UNII:H645GUL8KJ) LISDEXAMFETAMINE DIMESYLATE 10 mg Inactive Ingredients MICROCRYSTALLINE CELLULOSE (UNII: OP1R32D61U) CROSCARMELLOSE SODIUM (UNII: M28OL1HH48) MAGNESIUM STEARATE (UNII: 70097M6I30) GELATIN, UNSPECIFIED (UNII: 2G86QN327L) TITANIUM DIOXIDE (UNII: 15FIX9V2JP) FD&C BLUE NO. 1 (UNII: H3R47K3TBD) FERROSOFERRIC OXIDE (UNII: XM0M87F357) FERRIC OXIDE YELLOW (UNII: EX438O2MRT) FD&C RED NO. 3 (UNII: PN2ZH5LOQY) FD&C YELLOW NO. 6
drug;vyvanse 10 what is all in this pill is it safe;"The following adverse reactions are discussed in greater detail in other sections of the labeling:

Known hypersensitivity to amphetamine products or other ingredients of VYVANSE [see CONTRAINDICATIONS (4)]
Hypertensive Crisis When Used Concomitantly with Monoamine Oxidase Inhibitors [see CONTRAINDICATIONS (4) and DRUG INTERACTIONS (7.1)]
Drug Dependence [see BOXED WARNING, WARNINGS AND PRECAUTIONS (5.1), and DRUG ABUSE AND DEPENDENCE (9.2, 9.3)]
Serious Cardiovascular Reactions [see WARNINGS AND PRECAUTIONS (5.2)]
Blood Pressure and Heart Rate Increases [see WARNINGS AND PRECAUTIONS (5.3)]
Psychiatric Adverse Reactions [see WARNINGS AND PRECAUTIONS (5.4)]
Suppression of Growth [see WARNINGS AND PRECAUTIONS (5.5)]
Peripheral Vasculopathy, including Raynaud's phenomenon [see WARNINGS AND PRECAUTIONS (5.6)]
Serotonin Syndrome [see WARNINGS AND PRECAUTIONS (5.7)]"
drug;what is in flomax;Active Ingredient/Active Moiety TAMSULOSIN HYDROCHLORIDE (UNII: 11SV1951MR) (tamsulosin - UNII:G3P28OML5I)  TAMSULOSIN HYDROCHLORIDE  0.4 mg
drug;what is the class for insulin glargine?;DEA Schedule: None
drug;what medicines raise blood sugar;"Some medicines for conditions other than diabetes can raise your blood sugar level. This is a concern when you have diabetes. Make sure every doctor you see knows about all of the medicines, vitamins, or herbal supplements you take. This means anything you take with or without a prescription.

Examples include:

Barbiturates.
Thiazide diuretics.
Corticosteroids.
Birth control pills (oral contraceptives) and progesterone.
Catecholamines.
Decongestants that contain beta-adrenergic agents, such as pseudoephedrine.
The B vitamin niacin. The risk of high blood sugar from niacin lowers after you have taken it for a few months.
The antipsychotic medicine olanzapine (Zyprexa)."
drug;what is metopol tar use;Hypertension Metoprolol tartrate tablets are indicated for the treatment of hypertension. They may be used alone or in combination with other antihypertensive agents.  Angina Pectoris  Metoprolol tartrate tablets are indicated in the long-term treatment of angina pectoris.  Myocardial Infarction  Metoprolol tartrate tablets are indicated in the treatment of hemodynamically stable patients with definite or suspected acute myocardial infarction to reduce cardiovascular mortality. Treatment with intravenous metoprolol can be initiated as soon as the patient's clinical condition allows (see DOSAGE AND ADMINISTRATION, CONTRAINDICATIONS, and WARNINGS ). Alternatively, treatment can begin within 3 to 10 days of the acute event (see DOSAGE AND ADMINISTRATION).
drug;"does corticosteroids cause i ""insomnia?""";Psychic  derangements  may  appear  when  corticosteroids  are used, ranging from euphoria, insomnia, mood swings, personality changes, and severe depression, to frank psychotic manifestations. Also, existing emotional instability or psychotic tendencies may be aggravated by corticosteroids.
drug;how reduce cholesterol;A healthy lifestyle is the first defense against high cholesterol. But sometimes diet and exercise aren't enough, and you may need to take cholesterol medications. Cholesterol medications might help
drug;"when is gardasil ""contra indicated?""";Hypersensitivity, including severe allergic reactions to yeast (a vaccine component), or after a previous dose of GARDASIL 9 or GARDASIL [see Description (11)].
drug;what is the classification of cromolyn;DEA Schedule: None
drug;i take lorazepam, my eyes are blurry, if i stop taking it, will my eyes clear up ?;Withdrawal symptoms (e.g., rebound insomnia) can appear following cessation of recommended doses after as little as one week of therapy. Abrupt discontinuation of product should be avoided and a gradual dosage-tapering schedule followed after extended therapy.
drug;how to use thymol;Thymol is a phenol obtained from thyme oil or other volatile oils used as a stabilizer in pharmaceutical preparations, and as an antiseptic (antibacterial or antifungal) agent. It was formerly used as a vermifuge.
drug;is zolpidem a drug?;Zolpidem belongs to a class of medications called sedative-hypnotics.
drug;mercaptopurine can be the cause of elevated bun/ creatinine level?;Causes Of Elevated BUN and Creatinine Levels: ... Chemotherapy drugs such as: Cisplatin, Carboplatin, Carmustine, Mitomycin, high-dose Methotrexate.
drug;when does skin redness start on fluorouracil;When Fluorouracil 5% Topical Cream is applied to a lesion, a response occurs with the following sequence: erythema, usually followed by vesiculation, desquamation, erosion and reepithelialization.
drug;how many mgs of colchicine is recommended;The dosing regimens for colchicine tablets, USP are different for each indication and must be individualized.
drug;what tier drug is methylphenidate;DEA Schedule: CII
drug;what is normal saline;"physiologic saline solution (physiologic salt solution) (physiologic sodium chloride solution) a 0.9 per cent solution of sodium chloride and water; it is isotonic, i.e., of the same osmotic pressure as blood serum. It is sometimes given intravenously to replace lost sodium and chloride. Excessive quantities may cause edema, elevated blood sodium levels, and loss of potassium from the tissue fluid. Called also normal saline or normal salt solution."
drug;what is zostavax for?- consider waiting for a new vaccine coming spring of 2018;ZOSTAVAX® is a live attenuated virus vaccine indicated for prevention of herpes zoster (shingles) in individuals 50 years of age and older. Limitations of Use of ZOSTAVAX:    ZOSTAVAX is not indicated for the treatment of zoster or postherpetic neuralgia (PHN).    ZOSTAVAX is not indicated for prevention of primary varicella infection (Chickenpox).
drug;what is ciprodex?;Ciprofloxacin and dexamethasone otic is used to treat outer ear infections in adults and children and acute (suddenly occurring) middle ear infections in children with ear tubes. Ciprofloxacin is in a class of medications called quinolone antibiotics. Dexamethasone is in a class of medications called corticosteroids. The combination of ciprofloxacin and dexamethasone works by killing the bacteria that cause infection and reducing swelling in the ear.
drug;how often can i get a cortisone shot;There's concern that repeated cortisone shots might cause the cartilage within a joint to deteriorate. So doctors typically limit the number of cortisone shots into a joint. In general, you shouldn't get cortisone injections more often than every six weeks and usually not more than three or four times a year.
drug;why codeine;Codeine is used to relieve mild to moderate pain. It is also used, usually in combination with other medications, to reduce coughing. Codeine will help relieve symptoms but will not treat the cause of symptoms or speed recovery. Codeine belongs to a class of medications called opiate (narcotic) analgesics and to a class of medications called antitussives. When codeine is used to treat pain, it works by changing the way the brain and nervous system respond to pain. When codeine is used to reduce coughing, it works by decreasing the activity in the part of the brain that causes coughing.
drug;how to give toradol im;When administering ketorolac tromethamine injection, the intravenous bolus must be given over no less than 15 seconds. The intramuscular administration should be given slowly and deeply into the muscle.
drug;wean off tegretol?;As with all antiepileptic drugs, Tegretol should be withdrawn gradually to minimize the potential of increased seizure frequency.
drug;can you take these tow medications at the same time of day concerta and lexapro?;Human pharmacologic studies have shown that methylphenidate may inhibit the metabolism of ... selective serotonin reuptake inhibitors). Downward dose adjustment of these drugs may be required when given concomitantly with methylphenidate. It may be necessary to adjust the dosage and monitor plasma drug concentrations (or, in the case of coumarin, coagulation times), when initiating or discontinuing concomitant methylphenidate.
drug;what happened if one takes a double does of simvastatin;"A few cases of overdosage with simvastatin have been reported; the maximum dose taken was 3.6 g. All patients recovered without sequelae. Supportive measures should be taken in the event of an overdose. The dialyzability of simvastatin and its metabolites in man is not known at present."
drug;what is antibiotic?;any of a large group of chemical substances, as penicillin or streptomycin, produced by various microorganisms and fungi, having the capacity in dilute solutions to inhibit the growth of or to destroy bacteria and other microorganisms, used chiefly in the treatment of infectious diseases.
drug;what kind of rash could pravastatin cause;In rare cases, it’s possible to have a serious allergic reaction to pravastatin. ... The warning signs of a serious allergic reaction are:    getting a skin rash that may include itchy, red, swollen, blistered or peeling skin
drug;what is ketorolac eye drops;Ophthalmic ketorolac is used to treat itchy eyes caused by allergies. It also is used to treat swelling and redness (inflammation) that can occur after cataract surgery. Ketorolac is in a class of medications called nonsteroidal anti-inflammatory drugs (NSAIDs). It works by stopping the release of substances that cause allergy symptoms and inflammation.
drug;how to take your medicine diabetes;The medicine you take will vary by your type of diabetes and how well the medicine controls your blood glucose levels, also called blood sugar. Other factors, such as your other health conditions, medication costs, and your daily schedule may play a role in what diabetes medicine you take.
drug;what mg norco comes in;... NORCO® 5/325 ... NORCO® 7.5/325 ... NORCO® 10/325 …
drug;what type of drug is ecstasy;3,4-methylenedioxy-methamphetamine (MDMA) is a synthetic drug that alters mood and perception (awareness of surrounding objects and conditions). It is chemically similar to both stimulants and hallucinogens, producing feelings of increased energy, pleasure, emotional warmth, and distorted sensory and time perception.
drug;what are the side effects of valsartan;"What are the possible side effects of valsartan tablets?  

Valsartan tablets may cause the following serious side effects:  

Injury or death to an unborn baby. See “What is the most important information I should know about valsartan tablets?”  

Low Blood Pressure (Hypotension). Low blood pressure is most likely to happen if you also take water pills, are on a low-salt diet, get dialysis treatments, have heart problems, or get sick with vomiting or diarrhea. Lie down, if you feel faint or dizzy. Call your doctor right away.   

Kidney problems. Kidney problems may get worse if you already have kidney disease. Some patients will have changes on blood tests for kidney function and may need a lower dose of valsartan tablets. Call your doctor if you get swelling in your feet, ankles, or hands, or unexplained weight gain. If you have heart failure, your doctor should check your kidney function before prescribing valsartan tablets.   

The most common side effects of valsartan tablets used to treat people with high blood pressure include:

headache

dizziness

flu symptoms

tiredness

stomach (abdominal) pain

Side effects were generally mild and brief. They generally have not caused patients to stop taking valsartan tablets.   

The most common side effects of valsartan tablets used to treat people with heart failure include:

dizziness
low blood pressure
diarrhea
joint and back pain
tiredness
high blood potassium"
drug;keflex capsules how supplied;"Keflex® Capsules (Cephalexin, USP), are available in:

The 250 mg capsules are a white powder filled into size 2 capsules (opaque white and opaque dark green) that are imprinted with Keflex 250 mg on the white body in edible black ink. They are available as follows:

 
Bottles of 20      NDC 11042-112-97
 
Bottles of 100     NDC 11042-112-96
The 333 mg capsules are a white powder filled into size 1 capsules (opaque light green and opaque light green) that are imprinted Keflex 333 mg on the light green body in edible black ink. They are available as follows:

 
Bottles of 50     NDC 11042-114-40
The 500 mg capsules are a white powder filled into size 0 capsules (opaque light green and opaque dark green) that are imprinted with Keflex 500 mg on the light green body in edible black ink. They are available as follows:

 
Bottles of 20      NDC 11042-113-97
 
Bottles of 100     NDC 11042-113-96
The 750 mg capsules are a white powder filled into elongated size 00 capsules (opaque dark green and opaque dark green) that are imprinted Keflex 750 mg on the dark green body in edible white ink. They are available as follows:

 
Bottles of 50     NDC 11042-115-40"
drug;what is nano silver?;Silver nanoparticles are added to a variety of textiles and home goods as an antimicrobial. Although silver has been used safely for centuries, some question whether the rapid expansion of new exposure sources to nanosilver could have adverse consequences.
drug;why to take vicodin;Hydrocodone is used to relieve severe pain. Hydrocodone is only used to treat people who are expected to need medication to relieve severe pain around-the-clock for a long time and who cannot be treated with other medications or treatments. Hydrocodone extended-release (long-acting) capsules or extended-release tablets should not be used to treat pain that can be controlled by medication that is taken as needed.
