女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
女 我觉得心里很压抑，记忆力减退，时常心情不好;"任何人都会遇到问题，有些人遇到问题解决了，而有些人没有。好的心态注定1个人的成功与否。无论遇到什么，我们应有1个好的心态，积极奋进坚强不屈。

在生活中我们都会遇到这样那样的问题，能改变这些事情的人只有自己，只有自己对自己有了信心，您才可以从容的走完您的人生之路，前方的路很长，在我们1生走过的路途中，有绿洲，也会有风沙。坎坷与平坦是同时存在的。在遇到挫折时，必须要拿出自己的勇气来，勇敢的去面对。当您试着去面对困难和压力时，我相信这些困难总有1天会屈服在自己的脚下，以1种崭新的姿态去面对人生。相信自己，就等于拥有了无穷的力量。

还有就是请仔细想想看，现在最困扰您的那件事是什么，然后努力去1个1个的解决，最后所有的事情都迎刃而解后，您就不会像现在这么烦了，您会认为“哦！原来生活也可以如此轻松、如此美好！”
从现在开始行动吧！相信您会做到的！加油！"
女 近一年控制不住情绪，有自残，初三不想继续上;家里人知道你的情况么？
女 头疼，难受有一些不好的想法，不知道是否抑郁;平台测试一下然后买测评产品进行解读。
女 你好我最近压力太大，和老公吵架了，该怎么办;今年多大了，结婚多久了，遇到什么压力了呢？
女 如何提高让自己拥有自律和坚持专注于做事啊？;去掉牵挂和依赖。坚持规律就好了。。
女 我觉得自己老是想的多，有时候觉得自己很没用;有多久？
男 我与妻子生活了十年，我们之间亲吻只有两次。;"男
我与妻子生活了十年，我们之间亲吻只有两次。"
男 我失眠，情绪不稳定，身体乏力，感觉自己有病;"刚刚看完您所有的描述，
其实失眠通常有两种原因所致：生理因素和心理因素。
生理因素导致的失眠是指由躯体不适、疾病或创伤的疼痛而导致的失眠；
心理因素导致的失眠则是指由心理困惑导致的失眠，如为一些困惑自己的事情烦恼、担心、焦虑。还有失眠的原因是因为担心失眠，对夜晚产生恐惧，甚至对床产生焦虑。
请您通过上面的内容分析自己的失眠可能是由哪种原因导致的？

（1）							用森田疗法治疗心理因素导致的失眠。要对失眠本身有正确的认识，失眠时不去克服，以平静的心态对待失眠，接受失眠，甚至享受失眠，不去想它，不去管它，不把失眠当问题。

（2）							要知道睡眠的规律。睡眠是自然的生理现象，有它自己的一套规律，睡觉时躺在床上闭上眼睛就行了，再睡不着也可以听听音乐，看看书。

（3）							要知道睡眠时间的长短到底对人有什么样的影响。很多时候担心睡不着的重要因素是害怕对明天的工作、学习和对自己的身体健康产生不良影响。经过科学的研究，一个成年人平均每天需要5个小时睡眠时间就够了。这个世界上还从没有哪个人是因为睡眠而死的。

（4）							睡眠最好要有一定的时间规律，工作时工作，该学习时学习，晚上该睡觉时睡觉。"
女 为什么做什么说什么家人都觉得错？每次都被骂;您多大了
男 爱一个人特别痛苦，但又放不下，心里特别烦。;你多大？发生了什么事情？
女 我有心病，心结打不开，我恐惧婚后婆婆家相处;我自己的小孩，我不能说，婆婆总认为她的是对的
女 安眠药药店有卖吗吃多少会死，我撑不下去了，;我有
女 有网友聊天嘛？？？？？？？？？？？！！！！;有
女,心理太难受，很想找人谈心，合股做生意太难了;没做过，不懂
女 自卑症有什么表现，，，，，，，，，，，，，;自卑的主要表现是不自信。觉得自己不如别人，会比较敏感一点吧，目前没有自卑症这一说喔，你自己感觉哪里有什么不太舒服的地方吗
男 改变，是不是一个痛苦的过程？？？？？？？？？;是～
男 我抑郁状态2年半了，不知道这样会不会是抑郁症;简单粗暴一点，去医院看看
女 心难受，憋屈吧啦的，说不上开的理由  ，，，。;"任何人都会遇到问题，有些人遇到问题解决了，而有些人没有。好的心态注定1个人的成功与否。无论遇到什么，我们应有1个好的心态，积极奋进坚强不屈。

在生活中我们都会遇到这样那样的问题，能改变这些事情的人只有自己，只有自己对自己有了信心，您才可以从容的走完您的人生之路，前方的路很长，在我们1生走过的路途中，有绿洲，也会有风沙。坎坷与平坦是同时存在的。在遇到挫折时，必须要拿出自己的勇气来，勇敢的去面对。当您试着去面对困难和压力时，我相信这些困难总有1天会屈服在自己的脚下，以1种崭新的姿态去面对人生。相信自己，就等于拥有了无穷的力量。

还有就是请仔细想想看，现在最困扰您的那件事是什么，然后努力去1个1个的解决，最后所有的事情都迎刃而解后，您就不会像现在这么烦了，您会认为“哦！原来生活也可以如此轻松、如此美好！”
从现在开始行动吧！相信您会做到的！加油！"
女 我滴天呐，刘亦菲姐姐好漂亮啊!!! 非常非常好看;啊
女 家庭如何处理，婆息关系这么处理，知道心里难受;我老公家庭条件不好，他也挺孝顺的，每次他妈妈都给他打电话是我的不好
男 心理素质差爱脸红不知有没有最实用的方法解决，;去做销售员
男 失眠，4个小时，只睡着一个小时，不烦了。。。;不烦了，好！
女生为啥总是口是心非呢？她们喜欢一个东西会咋样;怎么回事！！！
女,时常怀疑自己对自己和身边的人是不是要求太高了;你怀疑他们什么呢
女,40岁，有抑郁焦虑史，觉得很烦，也不知道为什么;想你这个年纪
如何摆脱一个总是优柔寡断的性格，不再矛盾不再纠结;优柔寡断，就是我们不愿意去承担不好的结果。这是缺乏自我责任感的表现。我可以帮你找到根源，进行自我提升
女 易怒，有社交障碍，短时间的颓废，心里压力大，;多久了？
女 扫描领红包，人人有份。骗子死远远的。。。。。;专家也可以扫。反正是马云出钱。
男 人为什么要活着？最终将走向何处？人生的意义？;这是个大的命题，，，你是如何理解的呢？
女,如何沟通或相处让喜欢的人喜欢上自己，越快越好;请问您多大了？您了解自己喜欢的人的性格么？
男 精神疾病和心理疾病怎么区别？用仪器可以区分吗;不可以
女 总因为小事爱跟男朋友吵架怎么才能避免这种事。;除了和他吵架，还能有其它方式宣泄你的负面情绪吗？
男 我好难睡着，有谁有什么办法可以让我快速入睡。;睡不着是因为在想问题
男 孩子老是在学校和小朋友打架，是不是有心里问题;孩子多大了？打架有原因吗？
女 我自从生了孩子就有了产后抑郁症无缘无故发脾气;孩子多大了
女 出现那些症状才算是抑郁症。在线咨询，，，，，;哦豁
女 很多，自己也说不清楚，家庭，工作，自己的情趣;需要深入交流吗？
女,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈;刚刚看完您所有的描述，虽然不知道发生了什么事，不过通过这一串的文字，能感觉到您内心的愉悦感。
男 老是唱反调，心里不自信，头脑跟着思考致头疼。;是心里唱反调
女 性格多变，让人猜不透的女生性格，是怎么回事。;"刚刚看完您所有的描述，我想别人猜不透，或许说明并不了解此女生。

而对子女生自己而言，这种多变是有原因的。绝对不是无缘无故的多变。"
女 男朋友不是第一次我很介意怎么办，已经快半年了;真介意就分手
女 心情总是忽高忽低，有时候开心有时候就特别难受;这和情绪有关，可以通过咨询学会情绪管理
女 老这事那事的，遇见事就受不了了，怎么回事呢！;啥事
女 想去改变不羡慕别人的问题，不去引来更多的仇恨;我想问一下怎样才可以不去羡慕别人，弄的好闹心
女 快中考了，我压力很大，想找人倾诉一下自己的痛;"刚刚看完您所有的描述，能理解您的感受，我想首先要正确看待中考，不要将中考看成，如果考不好，一切就完了！

如果将中考视为生活中最重要的事！那么就会有无形的压力产生！这样不仅不可能在考试的时候正常发挥，反而会影响正常的考试成绩。

所以，只要自己努力了就好！以平常心去对待中考！自信些，好吗？加油！"
女 怎么可以知道自己得抑郁症了，觉得自己可有可无;嗯
女,经常情绪失控，暴力，很悲观，对未来充满恐惧，;我这一年多情绪很不好，对工作，对生活都充满恐惧，脾气也很差，对谁都没有忍耐心
女 抑郁症的表现，应该怎么办啊，谢谢我只是个学生;我想知道我事否有抑郁症
女,需要去医院吗这种情况很严重了吗？大概费用多少;你多大了呢？父母知道你当前这样的状态吗？
男 随艺。。。。我愿意被你禁锢。。。。我求之不得;这里是心理咨询平台，请问您想通过提问得到怎样的帮助？
女 闺蜜和自己喜欢的人过度暧昧该怎么办，特别压抑;自己跟自己喜欢的人确定关系了吗？
男 想找个不安于现状的女生一起尝试流浪的生活，。;这里是心理咨询平台，请问您想通过提问得到怎样的帮助？
女 嘛时候开学？。。。。。是不是快要开学了？。。;我太害怕了，我害怕开学。本来早该来了，但是不管早晚我都害怕(｀⌒´メ)
女 为什么只要是家里人，骂一两句就忍不住流眼泪？;委屈呗，希望被懂得被爱呗！
请问一下，我要离婚，老公不回来办手续，我该怎么办;这个好像是法律问题，请您去法律版块提问吧！
闹心…………………………………………………………;你有什么困扰呢
男 心情失落心理纠结老是想杀人所以事情都压在身上;你多大？发生了什么事情？这情况多久了？
不懂为什么在我们这个年纪(18~25)谈恋爱男人心里的想法;恩？
女,我老是觉得我男朋友外面有女人，这是心理问题吗;有多疑多虑的表现，确实是心理问题。
男 焦虑，可否提供焦虑症测试，感觉自己有焦虑症状;哪位好医生说说看
女 我很怕黑怎么办，总感觉黑的地方别的不好的东西;曾经发生过什么事情开始的呢
男 压力过大，受尽挫折，16岁学生	，想用死亡来逃避;有什么方法，缓解吗
女 感觉世界太黑暗了，我也看到我们班的人就特别的烦;世界还好的
男 一方出轨我还想挽回这段婚姻可是又不知道怎么挽回;发生了什么事情？
女 有哪位善良的姐姐能帮助我解决下我的烦恼！！！;什么烦恼
男 害怕谈恋爱。不敢去谈恋爱。喜欢黑暗。压力大。;怎么办
我要试试头像……所以别回我～～～∽～～～～一～～;刚刚看完您所有的描述，随心测试就好
男 有时候就不想活着，22岁了还是一无所有，活着好累;你觉得22岁应该有些什么呢？
男 感觉女朋友不爱自己，他爱他前任，信不过我爱他;为了前任他贞洁没了，我就却爱他爱的快疯了
心理压力太大，工作不能静下心，总是怀疑妻子不相信她;这是缺乏安全感的表现，很怕被抛弃，
【探索问题:花了3000元买的衣服发现不合身】 用Rebt理论;有人在吗
女 脾气过敏，缺乏安全感，没有自信，我是不是没救了;请问您多大了？您想改变么？
男 很想问一个问题但是知道不该问，怎样缓解这种冲动;请问发生了什么事？
男 失眠以前吃过药担是治标不治本现在在吃百乐眠胶囊;"刚刚看完您所有的描述，
其实失眠通常有两种原因所致：生理因素和心理因素。
生理因素导致的失眠是指由躯体不适、疾病或创伤的疼痛而导致的失眠；
心理因素导致的失眠则是指由心理困惑导致的失眠，如为一些困惑自己的事情烦恼、担心、焦虑。还有失眠的原因是因为担心失眠，对夜晚产生恐惧，甚至对床产生焦虑。
请您通过上面的内容分析自己的失眠可能是由哪种原因导致的？

（1）       用森田疗法治疗心理因素导致的失眠。要对失眠本身有正确的认识，失眠时不去克服，以平静的心态对待失眠，接受失眠，甚至享受失眠，不去想它，不去管它，不把失眠当问题。

（2）       要知道睡眠的规律。睡眠是自然的生理现象，有它自己的一套规律，睡觉时躺在床上闭上眼睛就行了，再睡不着也可以听听音乐，看看书。

（3）       要知道睡眠时间的长短到底对人有什么样的影响。很多时候担心睡不着的重要因素是害怕对明天的工作、学习和对自己的身体健康产生不良影响。经过科学的研究，一个成年人平均每天需要5个小时睡眠时间就够了。这个世界上还从没有哪个人是因为睡眠而死的。

（4）       睡眠最好要有一定的时间规律，工作时工作，该学习时学习，晚上该睡觉时睡觉。"
女 难受身上没劲，，，，，，，，，，，，，，，，，;发生什么事了呢
男 总觉得自己病的挺严重，天天乱想，弄的牙痛，头痛;这种病重的感觉，是因为工作生活的原因多一些，还是因为心理的原因多一些呢？
女 如果，得中度抑郁症，该怎么办，不想让家里人知道;实话实说
女 想知道测试结果是不是抑郁症。或者情况如何。谢谢;图片不清楚
女 我有一个特别好的朋友，但是他走了，再也回不来了;过好自己就行
男 看到别人上了普高，我上了技校，我自卑，朋友远离;学习力比学历重要！
女 情感问题走不出上一段感情，他出轨了，对我也不好;距离上一段失败的感情有多久了，可以通过心理疏导帮您走出困惑，很愿意帮助您。
女 两个男人同时喜欢一个女生，这个女生该如何抉择。;两个男的都是28岁，女生25岁。销售的这个男的对她忽冷忽热，做苦力的这个对她却是特别黏人。女生不知道该怎么办了？好困惑？
男 什么叫无性恋。。。。。。。。。。。。。。。。。;嗯嗯嗯嗯
女 晚上经常心里乱想恐惧，睡不着，还有莫名的恐慌感;看了你的提问，请问您多大了呢？这样的状态持续多长时间了呢？
女,骂我一句话把我骂醒，不再爱他！一个有妻有女的人;建议通过心理咨询做一下心理疏导。
女 父母经常猜测我的内心，不管正不正确，骂我………;操你妈，我想骂人
女 抑郁症。我想知道抑郁症的症状和表现。麻烦医生了;"主要特点，长期心境低落，兴趣丧失，自杀倾向。
签订需要到专业正规医院。"
女 为什么总是觉得自己很累很想哭还总是觉得自己病了;"刚刚看完您所有的描述，我想感觉累首先因为人是感性的，是有感情的，是有喜怒哀乐的！还有就是想得太多了！将所有不开心的情事都记在脑海里！就如同人身上背着很重的东西去爬山一样，在刚刚开始爬时感觉还好，可是越爬会觉得东西越重！这时我们就不得放弃身上的一些东西，这样我们才可以继续爬下去！否则只能停止不前，原地踏步啦！
嗯，仔细想想看，现在最困扰您的那件事是什么，然后努力去一个一个的解决，最后所有的事情都迎刃而解后，您就不会像现在这么烦了，您会认为“哦！原来生活也可以如此轻松、如此美好！”
从现在开始行动吧！相信您会做到的！加油！"
女 不想活了，难受，好难受，绝望了，好难受。想死。;发生什么了可以说说吗
女 我不是矫情我之前不是这样的人，可是我就是很难过;一样我之前也特别的开朗现在因为别的人一句话就会胡思乱想
女,33岁,婚后与公婆，丈夫之间的不愉快，尤其生小孩后;建议通过心理咨询提升处理家庭关系的能力。
男 害怕见人咋办，每天过得好痛苦，怎么办啊，求解答;嗯嗯，您好
男 请问十岁的小男孩每晚哭着要跟着妈妈睡是什么原因;"男
请问十岁的小男孩每晚哭着要跟着妈妈睡是什么原因"
男 人活着，什么最重要？？？活着有是为了什么？？？;刚刚看完您所有的描述，活出身心健康的自己，开心的自己最重要。
男 失眠抑郁数月，不敢吃药，求助该如何自救心理调适;不想吃药，可以心理咨询
女,28岁,为什么会喜欢同性，也对她的大事小事都很在乎;很纠结
女 结婚一年宝宝五个月，想离婚，怕对孩子成长有影响;刚刚看完您所有的描述，请问发生了什么事后想要离婚？
男 抽烟会上瘾吗怎样判断自己抽烟上瘾抽烟多久会上瘾;这得看自己的心情
我很想我前女朋友，我真的想挽回，不知道还有没有机会;嗯
我要改变自己，怎样才可以改变自己啊？？ヽ(‘⌒´メ)ノ;你多大？可以自我成长，也可以在咨询师的帮助下，成长
女,未婚女能嫁给离婚带个5岁的孩子的男人吗 能幸福吗？;不能说这样就不幸福
男 我自己如何理解，没人听取如何是好⊙▽⊙，，，，;是什么理解需要别人的听取呢？
我老公疑心病太大了，什么都怀疑人家对他有算计心理！;是自己不够自信，是吗？
女 父母有时候为了一点小事就不吵架，我该怎么办呢？;"刚刚看完您所有的描述，请问您多大了？

您的困扰是什么？

您是期待父母吵架？"
男 科学无国界，拒绝知识的偏见和傲慢，，，，，，，;一天24小时
女 最近胸口闷，心脏不舒服，莫名的焦虑。睡不着觉。;刚刚看完您所有的描述，请问您多大了？发生了什么事后出现这种感受和状态的？
女 我时不时的会想些不好的问题，是不是心里不合适？;想多了╮（﹀＿﹀）╭早点休息(∪｡∪)｡｡｡zzz
女,30岁,失眠，拖延症，行动力不足影响生活工作怎么办;拖延症的原因很多，需要具体分析。
女 家庭，关于和家人关系处理，我不能控制自己的情绪;我15岁了，今年也可以说16岁了
女 请问要如何入驻给力的心理咨询师？求解答和指导。;刚刚看完您所有的描述，您可以在工作日的早九点至晚五点联系客服
男 同性恋情困扰着我！不知道该怎么办影响生活学习！;怎么样
女 郁郁症严重害怕，睡眠不好，睡不好，容易发脾气，;"从你的描述中，了解到因失眠备受困扰，你目前的状态持续多长时间了？
通常来讲导致失眠的因素有很多种:比如躯体因素、环境因素、化学因素以及精神因素，通过以上所诉，来分析一下你的失眠是属于哪一种？"
男 我很喜欢一个女孩但是她不喜欢我。我感觉很抑郁。;可以理解您的心情
男 为什么我一个男生喜欢穿高跟鞋，而且可以轻松驾驭;因为你上辈子可能是个女人，或许你即将变成一个女人
女 总是想要死怎么办我总是自残心里就像压着东西一样;你多大了
我有强迫症怎么办.非常严重.下面凑字数....................;"刚刚看完您所有的描述，请问您多大了？

发生了什么事后出现这种强迫症的？

大约多久了？

不妨尝试了解下森田疗法，或许对您会有所启发。"
某两个人说话我就心慌	而且不希望别人说话		希望安静点;请问您多大了？这种感觉多久了？
男 性取向很特别，想改掉这个爱好，这个嗜好已经10年了;私聊
女 跟父母说话会烦躁 不知道为什么他们总是要对我说谎;请问您今年多大了？
女 考公立学校老师，压力大压力大压力大，感觉快抑郁了;适度减压，慢慢调整
男 我总是动不动心里乱成一团还总是喜欢羡慕嫉妒恨他人;你多大了？
男 治疗心理最有效的一种方法是什么？可提供资金300万元;用300万做自己想做的事儿。
男,我身体一不舒服就总是往不好的方向想，总爱钻牛角尖;老师
男 心老是悬着，总觉的会死，越想越害怕越害怕肚子还疼;你在恐惧，是什么引发了你内心的恐惧呢？
女,气场强大的女人适合做什么………………………………;"刚刚看完您所有的描述，通常气场强大的女人适合做领导级的工作。

不过主要还是要看自己有什么擅长和喜欢的。"
女 总是感觉自己是电视剧的某一个人总是幻想自己的未来;普通人把它称之为中二
男,为什么班上总有一两个那么讨人嫌的人呢？？？？？？;"刚刚看完您所有的描述，正所谓世界上有“千种石头，万种人”。
所以什么样的人都有的。"
女 可以帮我看一下图里的数据然后告诉我结果吗？谢谢了;"刚刚看完您所有的描述，scl～90这个测试有两个因子分，一个是阴性因子，另一个是阳性因子，只要关注下有症状的阳性因子分就好。

那么所有＞＝2分的都属于阳性因子分。（上限分值是5，也就是最高5分是说明症状最严重。）

不过，通常测试无法做诊断，仅供参考，更多的需要根据您生活中近期的状态相结合去做评估。"
那个网友可以帮我解决学校发生的予盾，汲及老师同学。;首先平静好心情，情绪。
有焦虑症为什么读完般若波罗蜜多心经心里就砰砰跳紧张;嗯
女 我想网恋急急急急急急急急急急急急急急急急急急急急;为什么一定要网恋呢？
女 胸口闷，烦躁，失眠，多梦，恐惧，自残是什么情况？;请问发生了什么事情吗，导致你这样
有没有人可以说说话，情绪低落。。。。。。。。。。。;"任何人都会遇到问题，有些人遇到问题解决了，而有些人没有。好的心态注定1个人的成功与否。无论遇到什么，我们应有1个好的心态，积极奋进坚强不屈。

在生活中我们都会遇到这样那样的问题，能改变这些事情的人只有自己，只有自己对自己有了信心，您才可以从容的走完您的人生之路，前方的路很长，在我们1生走过的路途中，有绿洲，也会有风沙。坎坷与平坦是同时存在的。在遇到挫折时，必须要拿出自己的勇气来，勇敢的去面对。当您试着去面对困难和压力时，我相信这些困难总有1天会屈服在自己的脚下，以1种崭新的姿态去面对人生。相信自己，就等于拥有了无穷的力量。

还有就是请仔细想想看，现在最困扰您的那件事是什么，然后努力去1个1个的解决，最后所有的事情都迎刃而解后，您就不会像现在这么烦了，您会认为“哦！原来生活也可以如此轻松、如此美好！”
从现在开始行动吧！相信您会做到的！加油！"
男 亲戚要送一辆车，感觉是要还是不要，心里有点纠结。;亲戚是基于什么原因要送一辆车呢？
女，22岁,每次离家前老是哭，分离也会哭的很厉害怎么办;是您本人的问题吗？离开家对您意味着什么？
女 我不知道现在怎么了，过的像个疯子，我申请退出人间;为什么呢
